comment_date,comment_hour,comment_count
2023-06-01,16,442534
2023-06-01,17,439124
2023-06-01,18,438994
2023-06-01,19,433847
2023-06-01,20,431052
2023-06-01,15,427860
2023-06-01,21,409519
2023-06-01,14,409140
2023-06-01,22,378843
2023-06-01,23,378584
2023-06-01,13,371133
2023-06-01,1,366308
2023-06-01,0,365303
2023-06-02,0,360225
2023-06-02,1,359193
2023-06-02,2,350370
2023-06-01,2,346077
2023-06-01,12,324289
2023-06-01,3,315006
2023-06-02,3,306234
2023-06-01,4,278680
2023-06-01,11,274400
2023-06-02,4,273821
2023-06-02,5,243257
2023-06-01,5,242525
2023-06-01,10,225979
2023-06-01,6,217736
2023-06-01,7,199109
2023-06-01,9,198035
2023-06-01,8,191219
2023-06-02,6,1604
